id,code,day,session_label,session_time,time,room,title,authors,affiliations,source_pdf,source_pages,start_page,end_page
0105,0105,"Monday, June 22",OR1-1A Bio/Medical Sensors and MEMS/NEMS 1,10:00-12:00,10:30,Grand Ballroom 1,Carboxymethyl Cellulose–Assisted ZnS@N/C–MWCNT Nanocomposite for Real-Time Dopamine Monitoring in PC-12 Cells,"Jitesh Laishram, Rajalakshmi Sakthivel, Ren-Jei Chung","National Taipei University of Technology, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0105.pdf,2,1,2
0101,0101,"Monday, June 22","OR1-1C Material, Fabrication, and Packaging 1",10:00-12:00,10:40,Rose 2,Generative Artificial Intelligence for the Design of Green Piezoelectric Sensors in Healthcare Applications,"Ravindra Joshi, Parag Parashar, Zong-Hong Lin","National Taiwan University, Taiwan [1] National Tsing Hua University, Taiwan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0101.pdf,1,3,3
0116,0116,"Monday, June 22",OR1-1D Physical Sensors and MEMS/NEMS 1,10:00-12:00,10:40,Rose 3,Reduction of Thermo-Elastic Damping by a Virtual Spring Enabled with Electrostatically Implemented Positive Stiffness,"W. Luo, C. Li, H. Wang, Z. Zhang, M. Heller, D. Nishinohara, H. Hashimoto, T. Fujita, T. Ikehashi","Waseda University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0116.pdf,2,4,5
0155,0155,"Monday, June 22",OR1-1E Chemical Sensors and MEMS/NEMS 1,10:00-12:00,10:40,Plum Blossom 2,Ultralow-Power Hydrogen Detection Using Gate-All-Around PtNP-decorated Suspended Silicon Nanobelt Gas Sensors,"Po-Chien Kung, Jeng-Tzong Sheu","National Yang Ming Chiao Tung University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0155.pdf,2,6,7
0285,0285,"Monday, June 22",OR1-1B Acoustic and RF MEMS,10:00-12:00,10:40,Rose 1,Multi resonant metamaterial-based microwave sensor for soil monitoring,"Faisal Muhammad, Tetsuo Kan","The University of Electro-communication, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0285.pdf,2,8,9
0207,0207,"Monday, June 22",OR1-1A Bio/Medical Sensors and MEMS/NEMS 1,10:00-12:00,10:42,Grand Ballroom 1,Next-Generation Wearable Organic Electrochemical Transistor-based Bioelectronic Medicine Enabled by Conducting Polymers and Laser-Scribed Graphene,Y.-S. Hsiao,"National Taiwan University of Science and Technology, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0207.pdf,2,10,11
0132,0132,"Monday, June 22",OR1-1D Physical Sensors and MEMS/NEMS 1,10:00-12:00,10:52,Rose 3,Collapse-mode based CMOS-MEMS CMUT through atomic layer deposition process,"Hsu-Chung Chen, Sheng-Shian Li","National Tsing Hua University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0132.pdf,2,12,13
0172,0172,"Monday, June 22",OR1-1E Chemical Sensors and MEMS/NEMS 1,10:00-12:00,10:52,Plum Blossom 2,Design of Copper Iron Prussian Blue Analogues Integrated with Graphene Quantum Dots for Nitrate Sensors,"Jing-Ju Ho, Chieh Li, Jung-Hsin Jen, Pin-Hsuan Lin, Mia Rinawati, Kuan-Jung Chen, Min-Hsin","National Taiwan University of Science and Technology, Taiwan [1] Might Electronic Co., Ltd., Taiwan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0172.pdf,2,14,15
0265,0265,"Monday, June 22","OR1-1C Material, Fabrication, and Packaging 1",10:00-12:00,10:52,Rose 2,Topological Descriptor-Guided Machine Learning for Thermal Transport Design in Complex Inorganic Materials,"Yen-Ju Wu, Ming-Yuan Hung, Hong-Kang Tian, Yibin Xu","National Institute for Materials Science, Japan [1] National Cheng Kung University, Taiwan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0265.pdf,1,16,16
0288,0288,"Monday, June 22",OR1-1B Acoustic and RF MEMS,10:00-12:00,10:52,Rose 1,CMOS-MEMS NDoF Tuned-Mass-Damper (TMD) Resonators for Multi- Frequency Applications,"Chiao-Jen Hsueh, Chun-Pu Tsai, Ting-Yi Chen, Wei-Chang Li","National Taiwan University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0288.pdf,2,17,18
